ncbi_id	Size	GC	Not_ACGT	seq_id_version	seq_desc	seq_type	seq_base	Release_Date	Species	Genus	Family	Sequence_Type	Nuc_Completeness	Genotype	Segment	Authors	Publications	Geo_Location	Host	Isolation_Source	Collection_Date	BioSample	GenBank_Title
AY283795	29705	40.81	0	AY283795.1	"SARS coronavirus Sin2677, complete genome"	linear	RNA	2003-05-09T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M., Liu,E.T., Chia,J.-M., Lambert,E., Wong,M., Se Thoe,S.Y., Chan,K.P., Ruan,Y."	12781537	Singapore					"SARS coronavirus Sin2677, complete genome"
AY283796	29711	40.8	0	AY283796.1	"SARS coronavirus Sin2679, complete genome"	linear	RNA	2003-05-09T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M., Liu,E.T., Chia,J.-M., Lambert,E., Wong,M., Se Thoe,S.Y., Chan,K.P., Ruan,Y."	12781537	Singapore					"SARS coronavirus Sin2679, complete genome"
AY283797	29706	40.8	1	AY283797.1	"SARS coronavirus Sin2748, complete genome"	linear	RNA	2003-05-09T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M., Liu,E.T., Chia,J.-M., Lambert,E., Wong,M., Se Thoe,S.Y., Chan,K.P., Ruan,Y."	12781537	Singapore					"SARS coronavirus Sin2748, complete genome"
AY283798	29711	40.79	0	AY283798.2	"SARS coronavirus Sin2774, complete genome"	linear	RNA	2003-05-09T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M., Liu,E.T., Chia,J.-M., Lambert,E., Wong,M., Se Thoe,S.Y., Chan,K.P., Ruan,Y."	12781537	Singapore					"SARS coronavirus Sin2774, complete genome"
AY291315	29727	40.77	0	AY291315.1	"SARS coronavirus Frankfurt 1, complete genome"	linear	RNA	2003-06-11T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Thiel,V., Ivanov,K.A., Putics,A., Hertzig,T., Schelle,B., Bayer,S., Weissbrich,B., Snijder,E.J., Rabenau,H., Doerr,H.W., Gorbalenya,A.E., Ziebuhr,J., Scheiner,B., Weinand,H."	12917450						"SARS coronavirus Frankfurt 1, complete genome"
AY291451	29729	40.8	0	AY291451.1	"SARS coronavirus TW1, complete genome"	linear	RNA	2003-05-14T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Yeh,S.H., Wang,H.Y., Tsai,C.Y., Kao,C.L., Yang,J.Y., Liu,H.W., Su,I.J., Tsai,S.F., Chen,D.S., Chen,P.J., Yeh,S.-H., Kao,C.-L., Tsai,C.-Y., Liu,C.-J., Chen,D.-S., Chen,P.-J."	14983045	Taiwan					"SARS coronavirus TW1, complete genome"
AY297028	29715	40.79	1	AY297028.1	"SARS coronavirus ZJ01, complete genome"	linear	RNA	2003-05-19T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Li,L., Chen,S., Lu,Y., Zhang,M., Weng,J., Bo,X., Yan,J., Ding,Y., Zhang,Y., Fan,Y., Cheng,S., Sun,O., Mei,L., Yao,J., Wang,Z., Wu,N., Wo,J., Wang,S."							"SARS coronavirus ZJ01, complete genome"
AY304486	29741	40.83	0	AY304486.1	"SARS coronavirus SZ3, complete genome"	linear	RNA	2003-09-05T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Guan,Y., Zheng,B.J., He,Y.Q., Liu,X.L., Zhuang,Z.X., Cheung,C.L., Luo,S.W., Li,P.H., Zhang,L.J., Guan,Y.J., Butt,K.M., Wong,K.L., Chan,K.W., Lim,W., Shortridge,K.F., Yuen,K.Y., Peiris,J.S., Poon,L.L."	12958366	Hong Kong					"SARS coronavirus SZ3, complete genome"
AY304488	29731	40.83	0	AY304488.1	"SARS coronavirus SZ16, complete genome"	linear	RNA	2003-09-05T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Guan,Y., Zheng,B.J., He,Y.Q., Liu,X.L., Zhuang,Z.X., Cheung,C.L., Luo,S.W., Li,P.H., Zhang,L.J., Guan,Y.J., Butt,K.M., Wong,K.L., Chan,K.W., Lim,W., Shortridge,K.F., Yuen,K.Y., Peiris,J.S., Poon,L.L."	12958366	Hong Kong					"SARS coronavirus SZ16, complete genome"
AY304495	29720	40.79	0	AY304495.1	"SARS coronavirus GZ50, complete genome"	linear	RNA	2003-09-05T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Guan,Y., Zheng,B.J., He,Y.Q., Liu,X.L., Zhuang,Z.X., Cheung,C.L., Luo,S.W., Li,P.H., Zhang,L.J., Guan,Y.J., Butt,K.M., Wong,K.L., Chan,K.W., Lim,W., Shortridge,K.F., Yuen,K.Y., Peiris,J.S., Poon,L.L."	12958366	Hong Kong					"SARS coronavirus GZ50, complete genome"
AY310120	29740	40.76	0	AY310120.1	"SARS coronavirus FRA, complete genome"	linear	RNA	2003-08-12T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Stadler,K., Masignani,V., Eickmann,M., Becker,S., Abrignani,S., Klenk,H.D., Rappuoli,R., Censini,S., Guidotti,S., Scarselli,M., Mora,M., Covacci,A."	15035025						"SARS coronavirus FRA, complete genome"
AY313906	29754	40.77	0	AY313906.1	"SARS coronavirus GD69, complete genome"	linear	RNA	2003-12-03T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P., Wang,J., Jiang,L., Wang,X., Dong,W., Deng,R., Deng,Y., Zheng,H., He,X., Zhou,H., Huang,Y., Li,W., Bei,J., Lv,H., Huang,J., Xing,K., Lin,J., Wu,W., Li,G., Li,Y., Feng,J., Zhang,D., Long,Q., Yang,H."	15695582	"China: Jiangmen, Guangdong"					"SARS coronavirus GD69, complete genome"
AY319651	27733	38.2	0	AY319651.1	"Avian infectious bronchitis virus isolate BJ, complete genome"	linear	RNA	2003-07-21T00:00:00Z	Avian coronavirus	Gammacoronavirus	Coronaviridae	GenBank	complete			"Jin,W.W., Chen,C., Zhang,Y., Zhao,Y.Q., Chen,F.Y., Feng,J.D., Yang,H.C., Yu,J.L., Wu,Q.M., Wang,M., Li,N., Gong,Y.S., Sun,Q.X., Chen,Z.L."							"Avian infectious bronchitis virus isolate BJ, complete genome"
AY321118	29725	40.8	0	AY321118.1	"SARS coronavirus TWC, complete genome"	linear	RNA	2003-06-17T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Yang,J.Y., Lin,J.H., Chiu,S.C., Wang,S.F., Lee,S.C., Lin,Y.C., Hsu,C.K., Chen,H.Y., Chang,J.G., Chen,P.J., Su,I.J."							"SARS coronavirus TWC, complete genome"
AY323977	29751	40.76	1	AY323977.2	"SARS coronavirus HSR 1, complete genome"	linear	RNA	2003-06-24T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Vicenzi,E., Canducci,F., Pinna,D., Mancini,N., Carletti,S., Lazzarin,A., Bordignon,C., Poli,G., Clementi,M."	15109406	Italy					"SARS coronavirus HSR 1, complete genome"
AY338174	29573	40.82	0	AY338174.1	"SARS coronavirus Taiwan TC1, complete genome"	linear	RNA	2003-07-10T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Shih,M.C., Peck,K., Chan,W.L., Chu,Y.P., Chen,J.C., Tsai,C.H., Chang,J.G., Chang,J.-G.C., Lin,T.-H., Chen,C.-M., Lin,C.-S., Chan,W.-L., Shih,M.-C."	15812185						"SARS coronavirus Taiwan TC1, complete genome"
AY338175	29573	40.8	0	AY338175.1	"SARS coronavirus Taiwan TC2, complete genome"	linear	RNA	2003-07-10T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Shih,M.C., Peck,K., Chan,W.L., Chu,Y.P., Chen,J.C., Tsai,C.H., Chang,J.G., Chang,J., Lin,T., Chen,C., Chan,W., Shih,M."	15812185						"SARS coronavirus Taiwan TC2, complete genome"
AY345986	29736	40.78	0	AY345986.1	"SARS coronavirus CUHK-AG01, complete genome"	linear	RNA	2003-11-29T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Chim,S.S.C., Tsui,S.K.W., Chan,K.C.A., Au,T.C.C., Hung,E.C.W., Tong,Y.K., Chiu,R.W.K., Ng,E.K.O., Chan,P.K.S., Chu,C.M., Sung,J.J.Y., Tam,J.S., Fung,K.P., Waye,M.M.Y., Lee,C.Y., Yuen,K.Y., Chung,S., Au-Yeang,C., Au,K.K.A., Chan,A.H., Chan,C.W., Kou,C.Y.C., Lam,W.Y., Lau,S.K., Lau,Y.M., Law,S.L., Law,P.T.W., Li,M.L.Y., Wan,A.W.K., Wong,C.H., Yiu,W.H., Lee,N., Wu,A., Tse,C.H., Chan,L.Y.S., Lo,Y.M.D."	14654320						"SARS coronavirus CUHK-AG01, complete genome"
AY345987	29736	40.78	0	AY345987.1	"SARS coronavirus CUHK-AG02, complete genome"	linear	RNA	2003-11-29T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Chim,S.S.C., Tsui,S.K.W., Chan,K.C.A., Au,T.C.C., Hung,E.C.W., Tong,Y.K., Chiu,R.W.K., Ng,E.K.O., Chan,P.K.S., Chu,C.M., Sung,J.J.Y., Tam,J.S., Fung,K.P., Waye,M.M.Y., Lee,C.Y., Yuen,K.Y., Chung,S., Au-Yeang,C., Au,K.K.A., Chan,A.H., Chan,C.W., Kou,C.Y.C., Lam,W.Y., Lau,S.K., Lau,Y.M., Law,S.L., Law,P.T.W., Li,M.L.Y., Wan,A.W.K., Wong,C.H., Yiu,W.H., Lee,N., Wu,A., Tse,C.H., Chan,L.Y.S., Lo,Y.M.D."	14654320						"SARS coronavirus CUHK-AG02, complete genome"
AY345988	29736	40.78	0	AY345988.1	"SARS coronavirus CUHK-AG03, complete genome"	linear	RNA	2003-11-29T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Chim,S.S.C., Tsui,S.K.W., Chan,K.C.A., Au,T.C.C., Hung,E.C.W., Tong,Y.K., Chiu,R.W.K., Ng,E.K.O., Chan,P.K.S., Chu,C.M., Sung,J.J.Y., Tam,J.S., Fung,K.P., Waye,M.M.Y., Lee,C.Y., Yuen,K.Y., Chung,S., Au-Yeang,C., Au,K.K.A., Chan,A.H., Chan,C.W., Kou,C.Y.C., Lam,W.Y., Lau,S.K., Lau,Y.M., Law,S.L., Law,P.T.W., Li,M.L.Y., Wan,A.W.K., Wong,C.H., Yiu,W.H., Lee,N., Wu,A., Tse,C.H., Chan,L.Y.S., Lo,Y.M.D."	14654320						"SARS coronavirus CUHK-AG03, complete genome"
AY348314	29573	40.81	0	AY348314.1	"SARS coronavirus Taiwan TC3, complete genome"	linear	RNA	2003-07-24T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Shih,M.C., Peck,K., Chan,W.L., Chu,Y.P., Chen,J.C., Tsai,C.H., Chang,J.G., Chang,J.-G., Lin,T.-H., Chen,C.-M., Lin,T.-S., Chan,W.-L., Shih,M.-C."	15812185	Taiwan					"SARS coronavirus Taiwan TC3, complete genome"
AY350750	29738	40.77	0	AY350750.1	"SARS coronavirus PUMC01, complete genome"	linear	RNA	2003-11-17T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Zou,K., Zhu,H., Ding,K., Wang,Z., Liu,Y., Wang,T., Yang,J., Wei,G., Zhou,X., Zhang,W., Yu,Z., Fan,Z., Peng,X., Qin,C., Liu,X., Shen,Y., Ni,A., Qiang,B."							"SARS coronavirus PUMC01, complete genome"
AY351680	29749	40.94	0	AY351680.1	"SARS coronavirus ZMY 1, complete genome"	linear	RNA	2003-08-03T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Zeng,Q., Zhou,R., Bai,P., Xia,H., Zhang,Y., Zhu,B., He,D., Huang,Q., Song,L., Xia,F., Su,X., Yu,M., Tan,Y., Wu,W., Xu,J., Du,L., Zhong,N."							"SARS coronavirus ZMY 1, complete genome"
AY357075	29738	40.77	0	AY357075.1	"SARS coronavirus PUMC02, complete genome"	linear	RNA	2003-11-17T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Zou,K., Zhu,H., Ding,K., Wang,Z., Liu,Y., Wang,T., Yang,J., Wei,G., Zhou,X., Zhang,W., Yu,Z., Qin,C., Liu,X., Shen,Y., Ni,A., Qiang,B."							"SARS coronavirus PUMC02, complete genome"
